id,title,description,brand,item_group_id,google_product_category,product_type,gtin,mpn,link,mobile_link,image_link,additional_image_links,platform_specific_link,lifestyle_image_link,price,sale_price,sale_price_effective_date,cost_of_goods_sold,availability,age_group,color,gender,size,size_type,material,pattern,condition,product_detail,product_highlight,adult,is_bundle,expiration_date,average_review_rating,number_of_ratings,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,custom_number_0,custom_number_1,custom_number_2,custom_number_3,custom_number_4
1,Wireless Headphones,Premium noise-cancelling wireless headphones with 30-hour battery life.,SoundWave,electronics-general,Electronics > General,Electronics,,SNOO-001,https://snoocommerce.onrender.com/product/1,https://snoocommerce.onrender.com/product/1,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop,,,,79.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.5,32,Electronics,Best Sellers,,,,,,,,
2,Minimalist Watch,Elegant minimalist watch with leather strap and sapphire crystal glass.,TimeCraft,accessories-general,Apparel & Accessories > Accessories,Accessories,,SNOO-002,https://snoocommerce.onrender.com/product/2,https://snoocommerce.onrender.com/product/2,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&h=400&fit=crop,,,,149.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.6,145,Accessories,Best Sellers,,,,,,,,
3,Running Sneakers,Lightweight running shoes with responsive cushioning and breathable mesh.,StridePro,sports-general,Sporting Goods > Exercise & Fitness,Sports,,SNOO-003,https://snoocommerce.onrender.com/product/3,https://snoocommerce.onrender.com/product/3,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop,,,,119.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.1,72,Sports,Best Sellers,,,,,,,,
4,Leather Backpack,Handcrafted genuine leather backpack with padded laptop compartment.,UrbanCarry,accessories-general,Apparel & Accessories > Accessories,Accessories,,SNOO-004,https://snoocommerce.onrender.com/product/4,https://snoocommerce.onrender.com/product/4,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,,,,89.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,TRUE,,4.5,299,Accessories,Best Sellers,,,,,,,,
5,Ceramic Mug Set,Set of 4 hand-glazed ceramic mugs in assorted earth-tone colors.,ClayCraft,kitchen-general,Home & Garden > Kitchen,Kitchen,,SNOO-005,https://snoocommerce.onrender.com/product/5,https://snoocommerce.onrender.com/product/5,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,TRUE,,4.0,236,Kitchen,Best Sellers,,,,,,,,
6,Desk Lamp,Modern LED desk lamp with adjustable brightness and color temperature.,LumiDesk,home-general,Home & Garden > Decor,Home,,SNOO-006,https://snoocommerce.onrender.com/product/6,https://snoocommerce.onrender.com/product/6,https://images.unsplash.com/photo-1534073737927-85f1ebff1f5d?w=400&h=400&fit=crop,,,,59.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,3.9,67,Home,Best Sellers,,,,,,,,
7,Bluetooth Speaker,Portable waterproof Bluetooth speaker with 360-degree sound and 12-hour battery.,SoundWave,electronics-general,Electronics > General,Electronics,,SNOO-007,https://snoocommerce.onrender.com/product/7,https://snoocommerce.onrender.com/product/7,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400&h=400&fit=crop,,,,49.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.1,278,Electronics,,,,,,,,,
8,Yoga Mat,Extra-thick non-slip yoga mat with alignment lines and carrying strap.,ZenFit,sports-general,Sporting Goods > Exercise & Fitness,Sports,,SNOO-008,https://snoocommerce.onrender.com/product/8,https://snoocommerce.onrender.com/product/8,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.4,307,Sports,,,,,,,,,
9,Stainless Steel Water Bottle,Double-wall insulated bottle that keeps drinks cold 24hrs or hot 12hrs.,HydroFlask,sports-general,Sporting Goods > Exercise & Fitness,Sports,,SNOO-009,https://snoocommerce.onrender.com/product/9,https://snoocommerce.onrender.com/product/9,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400&h=400&fit=crop,,,,24.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.1,299,Sports,,,,,,,,,
10,Scented Candle Set,"Set of 3 soy wax candles in lavender, vanilla, and cedarwood fragrances.",GlowHaven,home-general,Home & Garden > Decor,Home,,SNOO-010,https://snoocommerce.onrender.com/product/10,https://snoocommerce.onrender.com/product/10,https://images.unsplash.com/photo-1602607532287-aaacb8946e4a?w=400&h=400&fit=crop,,,,29.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,TRUE,,4.3,249,Home,,,,,,,,,
11,Wireless Earbuds,True wireless earbuds with active noise cancellation and touch controls.,SoundWave,electronics-general,Electronics > General,Electronics,,SNOO-011,https://snoocommerce.onrender.com/product/11,https://snoocommerce.onrender.com/product/11,https://images.unsplash.com/photo-1590658268037-6bf12f032f55?w=400&h=400&fit=crop,,,,59.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.4,23,Electronics,,,,,,,,,
12,Cotton T-Shirt,Soft 100% organic cotton crew-neck tee in a relaxed fit.,ThreadBase,clothing-general,Apparel & Accessories > Clothing,Clothing,,SNOO-012,https://snoocommerce.onrender.com/product/12,https://snoocommerce.onrender.com/product/12,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop,,,,24.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.6,101,Clothing,,,,,,,,,
13,French Press Coffee Maker,"Borosilicate glass French press with stainless steel plunger for rich, full-bodied coffee.",BrewMaster,kitchen-general,Home & Garden > Kitchen,Kitchen,,SNOO-013,https://snoocommerce.onrender.com/product/13,https://snoocommerce.onrender.com/product/13,https://images.unsplash.com/photo-1572119865084-43c285814d63?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.5,194,Kitchen,,,,,,,,,
14,Sunglasses,Polarized UV400 sunglasses with lightweight acetate frames.,ShadeVault,accessories-general,Apparel & Accessories > Accessories,Accessories,,SNOO-014,https://snoocommerce.onrender.com/product/14,https://snoocommerce.onrender.com/product/14,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=400&h=400&fit=crop,,,,69.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.2,130,Accessories,,,,,,,,,
15,Throw Blanket,"Ultra-soft knitted throw blanket in neutral tones, perfect for any couch.",CozyNest,home-general,Home & Garden > Decor,Home,,SNOO-015,https://snoocommerce.onrender.com/product/15,https://snoocommerce.onrender.com/product/15,https://images.unsplash.com/photo-1580301762395-21ce6d5d4bc4?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.8,192,Home,,,,,,,,,
16,Plant Pot Set,Set of 3 minimalist ceramic planters with drainage holes and bamboo trays.,GreenSpace,home-general,Home & Garden > Decor,Home,,SNOO-016,https://snoocommerce.onrender.com/product/16,https://snoocommerce.onrender.com/product/16,https://images.unsplash.com/photo-1485955900006-10f4d324d411?w=400&h=400&fit=crop,,,,27.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,TRUE,,4.0,214,Home,,,,,,,,,
17,Mechanical Keyboard,Compact 75% mechanical keyboard with hot-swappable switches and RGB backlight.,KeyForge,electronics-general,Electronics > General,Electronics,,SNOO-017,https://snoocommerce.onrender.com/product/17,https://snoocommerce.onrender.com/product/17,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef?w=400&h=400&fit=crop,,,,129.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.0,196,Electronics,,,,,,,,,
18,Denim Jacket,Classic denim jacket with a modern slim fit and vintage wash.,ThreadBase,clothing-general,Apparel & Accessories > Clothing,Clothing,,SNOO-018,https://snoocommerce.onrender.com/product/18,https://snoocommerce.onrender.com/product/18,https://images.unsplash.com/photo-1551537482-f2075a1d41f2?w=400&h=400&fit=crop,,,,79.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.4,42,Clothing,,,,,,,,,
19,Essential Oil Diffuser,Ultrasonic aromatherapy diffuser with 7-color LED light and auto shut-off.,GlowHaven,home-general,Home & Garden > Decor,Home,,SNOO-019,https://snoocommerce.onrender.com/product/19,https://snoocommerce.onrender.com/product/19,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.6,294,Home,,,,,,,,,
20,Resistance Bands Set,Set of 5 latex resistance bands in varying strengths with carrying bag.,ZenFit,sports-general,Sporting Goods > Exercise & Fitness,Sports,,SNOO-020,https://snoocommerce.onrender.com/product/20,https://snoocommerce.onrender.com/product/20,https://images.unsplash.com/photo-1598289431512-b97b0917affc?w=400&h=400&fit=crop,,,,19.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,TRUE,,4.0,213,Sports,,,,,,,,,
21,Wireless Mouse,Ergonomic wireless mouse with silent clicks and adjustable DPI up to 4000.,KeyForge,electronics-general,Electronics > General,Electronics,,SNOO-021,https://snoocommerce.onrender.com/product/21,https://snoocommerce.onrender.com/product/21,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.0,170,Electronics,,,,,,,,,
22,Linen Shirt,Breathable linen button-down shirt perfect for warm weather.,ThreadBase,clothing-general,Apparel & Accessories > Clothing,Clothing,,SNOO-022,https://snoocommerce.onrender.com/product/22,https://snoocommerce.onrender.com/product/22,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=400&h=400&fit=crop,,,,54.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.6,205,Clothing,,,,,,,,,
23,Cast Iron Skillet,Pre-seasoned 12-inch cast iron skillet for stovetop and oven cooking.,IronHearth,kitchen-general,Home & Garden > Kitchen,Kitchen,,SNOO-023,https://snoocommerce.onrender.com/product/23,https://snoocommerce.onrender.com/product/23,https://images.unsplash.com/photo-1585442738733-7e3d60b58e4a?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.4,55,Kitchen,,,,,,,,,
24,Canvas Tote Bag,Durable organic cotton canvas tote with inner pocket and reinforced handles.,UrbanCarry,accessories-general,Apparel & Accessories > Accessories,Accessories,,SNOO-024,https://snoocommerce.onrender.com/product/24,https://snoocommerce.onrender.com/product/24,https://images.unsplash.com/photo-1544816155-12df9643f363?w=400&h=400&fit=crop,,,,22.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,3.9,136,Accessories,,,,,,,,,
25,Face Moisturizer,Lightweight daily moisturizer with hyaluronic acid and SPF 30 protection.,PureSkin,beauty-general,Health & Beauty > Skin Care,Beauty,,SNOO-025,https://snoocommerce.onrender.com/product/25,https://snoocommerce.onrender.com/product/25,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=400&h=400&fit=crop,,,,28.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.6,60,Beauty,,,,,,,,,
26,Notebook Journal,A5 hardcover dotted journal with 192 pages of acid-free paper.,InkWell,office-general,Office Supplies,Office,,SNOO-026,https://snoocommerce.onrender.com/product/26,https://snoocommerce.onrender.com/product/26,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=400&h=400&fit=crop,,,,14.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.7,71,Office,,,,,,,,,
27,Camping Hammock,Ultralight parachute nylon hammock supporting up to 400 lbs with carabiners.,TrailBound,outdoor-general,Sporting Goods > Outdoor Recreation,Outdoor,,SNOO-027,https://snoocommerce.onrender.com/product/27,https://snoocommerce.onrender.com/product/27,https://images.unsplash.com/photo-1520101244246-293f77ffc39e?w=400&h=400&fit=crop,,,,49.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.2,252,Outdoor,,,,,,,,,
28,Puzzle Game 1000pc,1000-piece jigsaw puzzle featuring a vibrant world map illustration.,PuzzleCo,toys-general,Toys & Games,Toys,,SNOO-028,https://snoocommerce.onrender.com/product/28,https://snoocommerce.onrender.com/product/28,https://images.unsplash.com/photo-1494059980473-813e73ee784b?w=400&h=400&fit=crop,,,,18.99 USD,,,,in stock,kids,,unisex,,,,,new,,,NO,FALSE,,4.5,206,Toys,,,,,,,,,
29,USB-C Hub,"7-in-1 USB-C hub with HDMI, SD card reader, and 100W pass-through charging.",TechLink,electronics-general,Electronics > General,Electronics,,SNOO-029,https://snoocommerce.onrender.com/product/29,https://snoocommerce.onrender.com/product/29,https://images.unsplash.com/photo-1625842268584-8f3296236761?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.0,201,Electronics,,,,,,,,,
30,Wool Beanie,Chunky knit merino wool beanie with a fold-over cuff for extra warmth.,CozyNest,clothing-general,Apparel & Accessories > Clothing,Clothing,,SNOO-030,https://snoocommerce.onrender.com/product/30,https://snoocommerce.onrender.com/product/30,https://images.unsplash.com/photo-1576871337632-b9aef4c17ab9?w=400&h=400&fit=crop,,,,19.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.1,156,Clothing,,,,,,,,,
31,Chef Knife,Professional 8-inch chef knife with high-carbon stainless steel blade.,IronHearth,kitchen-general,Home & Garden > Kitchen,Kitchen,,SNOO-031,https://snoocommerce.onrender.com/product/31,https://snoocommerce.onrender.com/product/31,https://images.unsplash.com/photo-1593618998160-e34014e67546?w=400&h=400&fit=crop,,,,69.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.5,56,Kitchen,,,,,,,,,
32,Wall Clock,Silent sweep wall clock with natural wood frame and minimalist dial.,TimeCraft,home-general,Home & Garden > Decor,Home,,SNOO-032,https://snoocommerce.onrender.com/product/32,https://snoocommerce.onrender.com/product/32,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=400&h=400&fit=crop,,,,42.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.4,107,Home,,,,,,,,,
33,Lip Balm Set,"Organic lip balm trio in honey, rose, and mint with beeswax and shea butter.",PureSkin,beauty-general,Health & Beauty > Skin Care,Beauty,,SNOO-033,https://snoocommerce.onrender.com/product/33,https://snoocommerce.onrender.com/product/33,https://images.unsplash.com/photo-1599735362370-3b8e7ad49d82?w=400&h=400&fit=crop,,,,12.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,TRUE,,4.4,145,Beauty,,,,,,,,,
34,Desk Organizer,"Bamboo desktop organizer with compartments for pens, phone, and sticky notes.",InkWell,office-general,Office Supplies,Office,,SNOO-034,https://snoocommerce.onrender.com/product/34,https://snoocommerce.onrender.com/product/34,https://images.unsplash.com/photo-1544816155-12df9643f363?w=400&h=400&fit=crop,,,,26.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.0,214,Office,,,,,,,,,
35,Hiking Boots,Waterproof mid-cut hiking boots with Vibram outsole and ankle support.,TrailBound,outdoor-general,Sporting Goods > Outdoor Recreation,Outdoor,,SNOO-035,https://snoocommerce.onrender.com/product/35,https://snoocommerce.onrender.com/product/35,https://images.unsplash.com/photo-1520219306100-ec4afeeefe58?w=400&h=400&fit=crop,,,,139.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.1,305,Outdoor,,,,,,,,,
36,Building Blocks Set,200-piece wooden building blocks in assorted shapes and colors for ages 3+.,PuzzleCo,toys-general,Toys & Games,Toys,,SNOO-036,https://snoocommerce.onrender.com/product/36,https://snoocommerce.onrender.com/product/36,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?w=400&h=400&fit=crop,,,,29.99 USD,,,,in stock,kids,,unisex,,,,,new,,,NO,TRUE,,4.1,186,Toys,,,,,,,,,
37,Portable Charger,10000mAh slim power bank with dual USB-C ports and fast charging.,TechLink,electronics-general,Electronics > General,Electronics,,SNOO-037,https://snoocommerce.onrender.com/product/37,https://snoocommerce.onrender.com/product/37,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=400&h=400&fit=crop,,,,29.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.7,48,Electronics,,,,,,,,,
38,Hoodie,Heavyweight cotton-blend pullover hoodie with kangaroo pocket.,ThreadBase,clothing-general,Apparel & Accessories > Clothing,Clothing,,SNOO-038,https://snoocommerce.onrender.com/product/38,https://snoocommerce.onrender.com/product/38,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400&h=400&fit=crop,,,,49.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.1,36,Clothing,,,,,,,,,
39,Cutting Board Set,Set of 3 bamboo cutting boards in graduated sizes with juice grooves.,IronHearth,kitchen-general,Home & Garden > Kitchen,Kitchen,,SNOO-039,https://snoocommerce.onrender.com/product/39,https://snoocommerce.onrender.com/product/39,https://images.unsplash.com/photo-1588165171080-c89acfa5ee83?w=400&h=400&fit=crop,,,,32.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,TRUE,,4.6,225,Kitchen,,,,,,,,,
40,Leather Wallet,Slim bifold wallet in full-grain leather with RFID-blocking technology.,UrbanCarry,accessories-general,Apparel & Accessories > Accessories,Accessories,,SNOO-040,https://snoocommerce.onrender.com/product/40,https://snoocommerce.onrender.com/product/40,https://images.unsplash.com/photo-1627123424574-724758594e93?w=400&h=400&fit=crop,,,,49.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.1,128,Accessories,,,,,,,,,
41,Hand Cream Set,"Nourishing hand cream trio in shea butter, aloe vera, and coconut scents.",PureSkin,beauty-general,Health & Beauty > Skin Care,Beauty,,SNOO-041,https://snoocommerce.onrender.com/product/41,https://snoocommerce.onrender.com/product/41,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=400&h=400&fit=crop,,,,18.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,TRUE,,4.7,310,Beauty,,,,,,,,,
42,Fountain Pen,Classic fountain pen with iridium nib and piston-fill ink system.,InkWell,office-general,Office Supplies,Office,,SNOO-042,https://snoocommerce.onrender.com/product/42,https://snoocommerce.onrender.com/product/42,https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=400&h=400&fit=crop,,,,42.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.7,181,Office,,,,,,,,,
43,Camping Lantern,Rechargeable LED camping lantern with 3 brightness modes and 200-hour runtime.,TrailBound,outdoor-general,Sporting Goods > Outdoor Recreation,Outdoor,,SNOO-043,https://snoocommerce.onrender.com/product/43,https://snoocommerce.onrender.com/product/43,https://images.unsplash.com/photo-1510312305653-8ed496efae75?w=400&h=400&fit=crop,,,,24.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.1,275,Outdoor,,,,,,,,,
44,Remote Control Car,High-speed RC car with 2.4GHz controller and rechargeable battery pack.,PuzzleCo,toys-general,Toys & Games,Toys,,SNOO-044,https://snoocommerce.onrender.com/product/44,https://snoocommerce.onrender.com/product/44,https://images.unsplash.com/photo-1581235707960-35f13de721b4?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,kids,,unisex,,,,,new,,,NO,FALSE,,4.3,254,Toys,,,,,,,,,
45,Webcam HD,"1080p HD webcam with auto-focus, noise-reducing microphone, and privacy cover.",TechLink,electronics-general,Electronics > General,Electronics,,SNOO-045,https://snoocommerce.onrender.com/product/45,https://snoocommerce.onrender.com/product/45,https://images.unsplash.com/photo-1587826080692-f439cd0b70da?w=400&h=400&fit=crop,,,,54.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.0,91,Electronics,,,,,,,,,
46,Chino Pants,Slim-fit stretch chino pants with a comfortable mid-rise waist.,ThreadBase,clothing-general,Apparel & Accessories > Clothing,Clothing,,SNOO-046,https://snoocommerce.onrender.com/product/46,https://snoocommerce.onrender.com/product/46,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400&h=400&fit=crop,,,,59.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.1,307,Clothing,,,,,,,,,
47,Tea Kettle,Stainless steel stovetop kettle with ergonomic handle and whistle alert.,BrewMaster,kitchen-general,Home & Garden > Kitchen,Kitchen,,SNOO-047,https://snoocommerce.onrender.com/product/47,https://snoocommerce.onrender.com/product/47,https://images.unsplash.com/photo-1556679343-c7306c1976bc?w=400&h=400&fit=crop,,,,37.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.4,239,Kitchen,,,,,,,,,
48,Crossbody Bag,Compact crossbody bag with adjustable strap and multiple zip compartments.,UrbanCarry,accessories-general,Apparel & Accessories > Accessories,Accessories,,SNOO-048,https://snoocommerce.onrender.com/product/48,https://snoocommerce.onrender.com/product/48,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.7,224,Accessories,,,,,,,,,
49,Facial Serum,Vitamin C brightening serum with niacinamide for even skin tone.,PureSkin,beauty-general,Health & Beauty > Skin Care,Beauty,,SNOO-049,https://snoocommerce.onrender.com/product/49,https://snoocommerce.onrender.com/product/49,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,,new,,,NO,FALSE,,4.2,90,Beauty,,,,,,,,,
